temp,rh,rain
11.1,56.5,0
5.8,39.9,0
1.4,37,0
3.7,54.4,0
6.5,62.4,0
6.5,56,0
5.9,60.1,0
7.9,58.1,0
11,64.4,0
6.2,51.6,5
5.9,44.9,0
6.3,62.1,0
3.1,50.9,0
0.4,32.5,0
1.3,47.3,1
-1.3,44.6,1
3.2,61.4,0
7.3,75.1,0
7.2,81.4,0
9.5,70,0.3
0,50.8,0
1.7,54.3,0
8.2,68.3,0
3,58.9,0
-0.7,37.4,0
0.4,73.5,2.5
-1.8,56.3,0
2.9,59.8,1.5
-3.5,38.4,0
-1.2,31.4,0
3.7,38.1,0
-4,43.3,0
-10.5,37.8,0
-7.7,46.1,0
-2.1,74.5,1.4
0.1,51.4,0
4.9,67.9,0.4
4.1,71,0
4.9,49.1,0
4,61.6,0
-1.9,52,0
-12.3,36.1,0
-11.2,40.5,0
-9.3,47.9,0
-4.9,72.3,0.2
-2.6,80.8,6
-5.7,55.4,0.1
-6.1,70.4,3.7
-8.7,57.3,0
-6.8,61,0
-5.4,62.3,0
-4.5,66.4,0
-3.9,66.4,0
-4,62.9,0
-7.6,53.5,0
-7,48.8,0
-3.6,67.9,0.2
-7,52.6,0
-8.2,44,0
-5.4,70.3,1.9
-8.2,44.6,0
-5.9,47,0
-3.8,59.1,1.1
-12.2,40,0
-14.5,45.4,0
-9.7,49.8,0
-6.7,48.9,0
-6.6,46.4,0
-8.2,43.6,0
-6.8,44.4,0
-4.3,59.8,0.4
-4.5,72.5,5.3
-8.8,60.8,0
-8.4,60.1,0
-8.5,51.5,0
-8.9,47.3,0
-7.9,43.3,0
-9.1,43.1,0
-10.1,43.5,0
-6.2,61.5,0
-0.2,68,0
1.3,60.9,0
1.5,75.9,0
1.2,77.8,0
1.1,72.9,0
0.3,75.4,0
0.3,63.6,0
2.9,44.9,0
-1.2,46.5,0
-2.1,35,0
-2.9,42,0
-5.9,43,0
-4.8,39.5,0
-3.4,46.5,0
-1.8,52.1,0
-0.6,55.5,0
0.9,62,0.1
1.6,51.5,0
1.4,50.8,0
5.3,43.9,0
6.2,43.5,0
6.2,48.1,0
5.6,52.1,0
6.1,57.4,0
2,42.9,0
6.2,36.1,0
4.2,84.8,28.5
2.8,73.8,0.5
0.5,74.5,2.3
-2.1,40.5,0
-2.1,42.6,0
0.1,50.6,0
2.1,68.5,0
3.4,68.8,0
1.6,45.1,0
1.6,44.8,0
0.2,40.8,0
1.4,52.4,0
4.6,46,0
7.8,46.5,0
10.7,65.5,0
6.7,72.8,0
1.5,40,0
-0.4,34.4,0
0.8,39.6,0
5.7,38.3,0
8.8,48.1,0
6.9,65.6,5
8,43.4,0
1.8,25.1,0
2.2,39.9,0
2.9,63.4,5.8
2.2,43.9,0
3.6,41.9,0
5.1,54.3,0
5.2,68.1,1.5
4.8,63,0
7.3,61.5,0
9.2,54.6,0
9.1,47,0
8.9,51.6,0
9.6,50.9,0
10.1,40.4,0
10.7,28.5,0
10.6,31.1,0
9.6,89.3,7
11.4,55.9,0
9.9,54,0
10.8,55.4,1.5
10.4,32.6,0
10.2,38.1,0
11.3,44.1,0
12.4,44.4,0
